channel,baseline,size_reduction_x,delay_reduction_x,utility_gap
acoustic_good_20kbps,roi_jpeg,3.3444996237772755,2.1013927182750094,0.10776693273473659
acoustic_good_20kbps,full_jpeg,15.757885628291948,7.932919759632379,0.13845694308810763
acoustic_good_20kbps,fixed_l2,1.3284875846501127,1.1543160127253447,0.06571271147551361
acoustic_good_20kbps,fixed_l3,1.5447328818660648,1.255903145987982,0.11845694308810761
acoustic_normal_10kbps,roi_jpeg,3.3444996237772755,2.2320442862791623,0.10776693273473659
acoustic_normal_10kbps,full_jpeg,15.757885628291948,8.75533017002768,0.13845694308810763
acoustic_normal_10kbps,fixed_l2,1.3284875846501127,1.1726215895610914,0.06571271147551361
acoustic_normal_10kbps,fixed_l3,1.5447328818660648,1.2862593910636615,0.11845694308810761
acoustic_poor_1kbps,roi_jpeg,4.484256615651577,3.8396658471809966,0.17197482638888884
acoustic_poor_1kbps,full_jpeg,21.127944633326944,17.404255843974315,0.20266483674225988
acoustic_poor_1kbps,fixed_l2,1.7812168965204145,1.6366910319763857,0.12992060512966586
acoustic_poor_1kbps,fixed_l3,2.0711554564623036,1.8729906841746082,0.18266483674225986
data_mule,roi_jpeg,2.5175241849611454,1.0000029769719376,0.04205422125922298
data_mule,full_jpeg,11.86152268968486,1.0000213073693118,0.07274423161259402
data_mule,fixed_l2,1.0,1.0,0.0
data_mule,fixed_l3,1.1627755499671493,1.0000003193215958,0.052744231612594006
optical_5mbps,roi_jpeg,2.5175241849611454,1.068234860269406,0.04205422125922298
optical_5mbps,full_jpeg,11.86152268968486,1.4883839680371296,0.07274423161259402
optical_5mbps,fixed_l2,1.0,1.0,0.0
optical_5mbps,fixed_l3,1.1627755499671493,1.007319136668366,0.052744231612594006
