channel,method,avg_size_bytes,avg_delay_s,avg_utility,p95_delay_s,events
acoustic_good_20kbps,fixed_l0,62.99166666666667,0.5414398625429553,0.4947810533311632,0.5414432989690722,120
acoustic_good_20kbps,fixed_l1,837.525,0.8608350515463917,0.8021243647822627,0.8804123711340206,120
acoustic_good_20kbps,proposed_channel_aware_deo,1107.5,0.9721649484536082,0.8615430569118924,1.1629072164948453,120
acoustic_good_20kbps,fixed_l2,1471.3,1.1221855670103094,0.927255768387406,1.194103092783505,120
acoustic_good_20kbps,fixed_l3,1710.7916666666667,1.2209450171821308,0.98,1.3241649484536082,120
acoustic_good_20kbps,roi_jpeg,3704.0333333333333,2.0429003436426116,0.969309989646629,2.9977319587628863,120
acoustic_good_20kbps,full_jpeg,17451.858333333334,7.712106529209622,1.0,10.240123711340205,120
acoustic_normal_10kbps,fixed_l0,62.99166666666667,0.9243405797101449,0.4947810533311632,0.9243478260869565,120
acoustic_normal_10kbps,fixed_l1,837.525,1.5978478260869564,0.8021243647822627,1.6391304347826086,120
acoustic_normal_10kbps,proposed_channel_aware_deo,1107.5,1.8326086956521739,0.8615430569118924,2.234826086956522,120
acoustic_normal_10kbps,fixed_l2,1471.3,2.14895652173913,0.927255768387406,2.3006086956521736,120
acoustic_normal_10kbps,fixed_l3,1710.7916666666667,2.357210144927536,0.98,2.5748695652173916,120
acoustic_normal_10kbps,roi_jpeg,3704.0333333333333,4.090463768115942,0.969309989646629,6.10391304347826,120
acoustic_normal_10kbps,full_jpeg,17451.858333333334,16.04509420289855,1.0,21.37591304347826,120
acoustic_poor_1kbps,fixed_l0,62.99166666666667,2.3575686274509806,0.4947810533311632,2.3576470588235297,120
acoustic_poor_1kbps,proposed_channel_aware_deo,826.0083333333333,9.538901960784314,0.7973351632577401,10.094117647058823,120
acoustic_poor_1kbps,fixed_l1,837.525,9.647294117647059,0.8021243647822627,10.094117647058823,120
acoustic_poor_1kbps,fixed_l2,1471.3,15.612235294117648,0.927255768387406,17.25364705882353,120
acoustic_poor_1kbps,fixed_l3,1710.7916666666667,17.866274509803922,0.98,20.222117647058827,120
acoustic_poor_1kbps,roi_jpeg,3704.0333333333333,36.62619607843137,0.969309989646629,58.41882352941175,120
acoustic_poor_1kbps,full_jpeg,17451.858333333334,166.01749019607846,1.0,223.71576470588235,120
data_mule,fixed_l0,62.99166666666667,303.0303284814815,0.4947810533311632,303.0303284848485,120
data_mule,fixed_l1,837.525,303.0306414242424,0.8021243647822627,303.0306606060606,120
data_mule,fixed_l2,1471.3,303.0308974949495,0.927255768387406,303.030967959596,120
data_mule,proposed_channel_aware_deo,1471.3,303.0308974949495,0.927255768387406,303.030967959596,120
data_mule,fixed_l3,1710.7916666666667,303.0309942592593,0.98,303.0310953939394,120
data_mule,roi_jpeg,3704.0333333333333,303.0317996094276,0.969309989646629,303.03273515151517,120
data_mule,full_jpeg,17451.858333333334,303.0373542861953,1.0,303.03983123232325,120
optical_5mbps,fixed_l0,62.99166666666667,0.051123251700680265,0.4947810533311632,0.05112326530612245,120
optical_5mbps,fixed_l1,837.525,0.052387795918367355,0.8021243647822627,0.052465306122448985,120
optical_5mbps,fixed_l2,1471.3,0.0534225306122449,0.927255768387406,0.05370726530612245,120
optical_5mbps,proposed_channel_aware_deo,1471.3,0.0534225306122449,0.927255768387406,0.05370726530612245,120
optical_5mbps,fixed_l3,1710.7916666666667,0.05381353741496599,0.98,0.054222204081632655,120
optical_5mbps,roi_jpeg,3704.0333333333333,0.05706780952380953,0.969309989646629,0.06084816326530613,120
optical_5mbps,full_jpeg,17451.858333333334,0.07951323809523811,1.0,0.08952212244897959,120
